7610,1985,Jeff Cook,PF,28,TOT,72,1288,0.495,0,0.734,122,192,62,30,23,48,203,323
7611,1985,Jeff Cook,PF,28,CLE,18,440,0.438,0,0.63,41,63,23,5,9,16,53,109
7612,1985,Jeff Cook,PF,28,SAS,54,848,0.529,,0.811,81,129,39,25,14,32,150,214
7613,1985,Joe Cooper,C,27,SEA,3,45,0.467,,0.5,3,6,2,2,1,0,7,17
7614,1985,Michael Cooper,SG,28,LAL,82,2189,0.465,0.285,0.865,56,199,429,93,49,156,208,702
7615,1985,Wayne Cooper,C,28,DEN,80,2031,0.472,0,0.685,229,402,86,28,197,149,304,969
7616,1985,Dave Corzine,C,28,CHI,82,2062,0.486,0,0.745,130,292,140,32,64,124,189,701
7617,1985,Charlie Criss,PG,36,ATL,4,115,0.412,0,0.667,2,12,22,3,0,11,5,18
7618,1985,Pat Cummings,C,28,NYK,63,2069,0.514,0,0.78,139,379,109,50,17,166,247,997
7619,1985,Terry Cummings,PF,23,MIL,79,2722,0.495,0,0.741,244,472,228,117,67,190,264,1861
7620,1985,Earl Cureton,C,27,DET,81,1642,0.484,0,0.569,169,250,83,56,42,114,216,496
7621,1985,Quintin Dailey,SG,24,CHI,79,2101,0.473,0.233,0.817,57,151,191,71,5,154,192,1262
7622,1985,Adrian Dantley*,SF,28,UTA,55,1971,0.531,,0.804,148,175,186,57,8,171,133,1462
7623,1985,Brad Davis,PG,29,DAL,82,2539,0.505,0.409,0.888,39,154,581,91,10,123,219,825
7624,1985,Charles Davis,SF,26,TOT,61,774,0.43,0.1,0.823,59,94,51,22,5,54,113,358
7625,1985,Charles Davis,SF,26,WSB,4,28,0.2,,0.75,2,2,1,1,0,2,3,7
7626,1985,Charles Davis,SF,26,MIL,57,746,0.436,0.1,0.828,57,92,50,21,5,52,110,351
7627,1985,Johnny Davis,PG,29,CLE,76,1920,0.426,0.261,0.85,35,84,426,43,4,152,136,941
7628,1985,Walter Davis,SG,30,PHO,23,570,0.45,0.3,0.877,6,29,98,18,0,50,42,345
7629,1985,Darryl Dawkins,C,28,NJN,39,972,0.566,0,0.711,55,126,45,14,35,93,171,527
7630,1985,Darren Daye,SF,24,WSB,80,1573,0.512,0.143,0.715,93,179,240,53,19,134,164,695
7631,1985,James Donaldson,C,27,LAC,82,2392,0.637,,0.749,168,500,48,28,130,206,217,929
7632,1985,John Drew,SF,30,UTA,19,463,0.412,0,0.77,36,46,35,22,2,42,65,308
7633,1985,Larry Drew,PG,26,KCK,72,2373,0.501,0.25,0.794,39,125,484,93,8,179,147,1075
7634,1985,Clyde Drexler*,SG,22,POR,80,2555,0.494,0.216,0.759,217,259,441,177,68,223,265,1377
7635,1985,Mike Dunleavy,PG,30,MIL,19,433,0.474,0.34,0.862,6,25,85,15,3,40,55,169
7636,1985,T.R. Dunn,SG,29,DEN,81,2290,0.489,0,0.724,169,216,153,140,14,65,213,434
7637,1985,Devin Durrant,SF,24,IND,59,756,0.416,0,0.706,49,75,80,19,10,77,106,300
7638,1985,Mark Eaton,C,28,UTA,82,2813,0.449,,0.712,207,720,124,36,456,206,312,794
7639,1985,Jerry Eaves,PG,25,ATL,3,37,0.5,,0.833,0,0,4,0,0,4,6,11
7640,1985,Kenton Edelin,SF,22,IND,10,143,0.308,,0.375,8,18,10,5,4,3,39,11
7641,1985,Franklin Edwards,PG,25,LAC,16,198,0.545,,0.792,3,11,38,17,0,17,10,91
7642,1985,James Edwards,C,29,PHO,70,1787,0.501,0,0.746,95,292,153,26,52,162,237,1044
7643,1985,Craig Ehlo,SG,23,HOU,45,189,0.493,0,0.633,8,17,26,11,3,22,26,87
7644,1985,Dale Ellis,SF,24,DAL,72,1314,0.454,0.385,0.74,100,138,56,46,7,58,131,667
7645,1985,Chris Engler,C,25,TOT,11,82,0.4,,0.556,12,18,0,2,5,2,5,21
7646,1985,Chris Engler,C,25,NJN,7,76,0.438,,0.556,10,17,0,2,4,1,4,19
7647,1985,Chris Engler,C,25,CHI,3,3,0.5,,,1,1,0,0,0,1,1,2
7648,1985,Chris Engler,C,25,MIL,1,3,0,,,1,0,0,0,1,0,0,0
7649,1985,Alex English*,SF,31,DEN,81,2924,0.518,0.2,0.829,203,255,344,101,46,251,259,2262
7650,1985,Julius Erving*,SF,34,PHI,78,2535,0.494,0.214,0.765,172,242,233,135,109,208,199,1561
7651,1985,Mike Evans,SG,29,DEN,81,1437,0.489,0.363,0.863,26,93,231,65,12,130,174,816
7652,1985,Kenny Fields,SF,22,MIL,51,535,0.44,,0.75,41,43,38,9,10,32,84,195
7653,1985,Vern Fleming,PG,22,IND,80,2486,0.47,0,0.767,148,175,247,99,8,197,232,1126
7654,1985,Sleepy Floyd,SG,24,GSW,82,2873,0.445,0.294,0.81,62,140,406,134,41,251,226,1598
7655,1985,Phil Ford,PG,28,HOU,25,290,0.298,0,0.889,3,24,61,6,1,17,33,44
7656,1985,Rod Foster,PG,24,PHO,79,1318,0.45,0.325,0.755,27,53,186,61,0,117,171,696
7657,1985,World B.,SG,31,CLE,71,2249,0.459,0.368,0.749,61,150,320,75,16,139,163,1597
7658,1985,Bill Garnett,PF,24,IND,65,1123,0.481,0,0.69,98,188,67,28,15,92,196,418
7659,1985,George Gervin*,SG,32,SAS,72,2091,0.508,0,0.844,79,155,178,66,48,198,208,1524
7660,1985,Artis Gilmore*,C,35,SAS,81,2756,0.623,0,0.749,231,615,131,40,173,241,306,1548
7661,1985,Mike Glenn,SG,29,ATL,60,1126,0.588,0,0.816,20,61,122,27,0,55,74,518
