95,Richard Anderson,1983,1990,F-C,6-10,240,19-Nov-60,"University of California, Santa Barbara"
96,Ron Anderson,1985,1994,F-G,6-7,215,15-Oct-58,"California State University, Fresno"
97,Ryan Anderson,2009,2018,F,6-10,240,6-May-88,University of California
98,Shandon Anderson,1997,2006,F-G,6-6,208,31-Dec-73,University of Georgia
99,Willie Anderson,1989,1997,G-F,6-7,190,8-Jan-67,University of Georgia
101,Martynas Andriuskevicius,2006,2006,C,7-2,240,12-Mar-86,
103,Ike Anigbogu,2018,2018,F-C,6-10,252,22-Oct-98,"University of California, Los Angeles"
104,Michael Ansley,1990,1992,F,6-7,225,8-Feb-67,University of Alabama
105,Chris Anstey,1998,2000,C,7-1,249,1-Jan-75,
106,Giannis Antetokounmpo,2014,2018,F-G,6-11,222,6-Dec-94,
107,Thanasis Antetokounmpo,2016,2016,F,6-7,205,17-Jul-92,
108,Carmelo Anthony,2004,2018,F,6-8,240,29-May-84,Syracuse University
109,Greg Anthony,1992,2002,G,6-1,176,15-Nov-67,"University of Nevada, Las Vegas"
110,Joel Anthony,2008,2017,C,6-9,245,9-Aug-82,"University of Nevada, Las Vegas"
111,Pero Antic,2014,2015,C-F,6-11,260,29-Jul-82,
112,OG Anunoby,2018,2018,F,6-8,232,17-Jul-97,Indiana University
113,Keith Appling,2016,2016,G,6-1,185,13-Feb-92,Michigan State University
114,Rafael Araujo,2005,2007,C,6-11,280,12-Aug-80,Brigham Young University
116,Robert Archibald,2003,2004,F,6-11,250,29-Mar-80,University of Illinois at Urbana-Champaign
118,Ryan Arcidiacono,2018,2018,G,6-3,188,26-Mar-94,Villanova University
120,Gilbert Arenas,2002,2012,G,6-3,191,6-Jan-82,University of Arizona
121,Trevor Ariza,2005,2018,F,6-8,215,30-Jun-85,"University of California, Los Angeles"
123,Joe Arlauckas,1988,1988,F,6-9,230,20-Jul-65,Niagara University
124,B.J. Armstrong,1990,2000,G,6-2,175,9-Sep-67,University of Iowa
126,Brandon Armstrong,2002,2004,G,6-5,188,16-Jun-80,Pepperdine University
128,Darrell Armstrong,1995,2008,G,6-1,170,22-Jun-68,Fayetteville State University
129,Hilton Armstrong,2007,2014,F-C,6-11,235,11-Nov-84,University of Connecticut
134,Carlos Arroyo,2002,2011,G,6-2,202,30-Jul-79,Florida International University
135,Darrell Arthur,2009,2018,F,6-9,235,25-Mar-88,University of Kansas
137,Jamel Artis,2018,2018,G-F,6-7,213,12-Jan-93,University of Pittsburgh
138,Omer Asik,2011,2018,C,7-1,255,4-Jul-86,
139,Vincent Askew,1988,1998,G-F,6-6,210,28-Feb-66,University of Memphis
140,Keith Askins,1991,1999,G-F,6-7,197,15-Dec-67,University of Alabama
143,Chucky Atkins,2000,2010,G,5-11,160,14-Aug-74,University of South Florida
146,Stacey Augmon,1992,2006,F-G,6-8,205,1-Aug-68,"University of Nevada, Las Vegas"
147,D.J. Augustin,2009,2018,G,6-1,183,10-Nov-87,University of Texas at Austin
148,James Augustine,2007,2008,F,6-10,235,27-Feb-84,University of Illinois at Urbana-Champaign
149,Isaac Austin,1992,2002,C,6-10,255,18-Aug-69,Arizona State University
152,Anthony Avent,1993,2000,F,6-9,235,18-Oct-69,Seton Hall University
154,William Avery,2000,2002,G,6-2,197,8-Aug-79,Duke University
156,Gustavo Ayon,2012,2014,C,6-10,250,1-Apr-85,
157,Jeff Ayres,2010,2016,F,6-9,240,29-Apr-87,Arizona State University
158,Kelenna Azubuike,2007,2012,G,6-5,220,16-Dec-83,University of Kentucky
159,Chris Babb,2014,2014,G,6-5,225,14-Feb-90,Iowa State University
160,Luke Babbitt,2011,2018,F,6-9,225,20-Jun-89,"University of Nevada, Reno"
161,Milos Babic,1991,1992,C-F,7-1,240,23-Nov-68,Tennessee Technological University
163,Dwayne Bacon,2018,2018,G,6-6,222,30-Aug-95,Florida State University
166,Dalibor Bagaric,2001,2003,C,7-1,255,7-Feb-80,
167,John Bagley,1983,1994,G,6-1,185,23-Apr-60,Boston College
170,James Bailey,1980,1988,F-C,6-9,220,21-May-57,Rutgers University
171,Thurl Bailey,1984,1999,F-C,6-11,215,7-Apr-61,North Carolina State University
172,Toby Bailey,1999,2000,G,6-6,213,19-Nov-75,"University of California, Los Angeles"
173,Cameron Bairstow,2015,2016,F-C,6-9,250,7-Dec-90,University of New Mexico
175,LaMark Baker,1999,1999,G,6-1,175,11-Nov-69,Ohio State University
176,Maurice Baker,2005,2005,G,6-1,175,28-Jul-79,Oklahoma State University
178,Ron Baker,2017,2018,G,6-4,220,30-Mar-93,Wichita State University
179,Vin Baker,1994,2006,F,6-11,232,23-Nov-71,University of Hartford
180,Wade Baldwin,2017,2017,G,6-4,202,29-Mar-96,Vanderbilt University
181,Renaldo Balkman,2007,2012,F,6-8,208,14-Jul-84,University of South Carolina
182,Cedric Ball,1991,1991,F,6-8,210,16-Apr-68,University of North Carolina at Charlotte
183,Lonzo Ball,2018,2018,G,6-6,190,27-Oct-97,"University of California, Los Angeles"
184,Greg Ballard,1978,1989,F,6-7,215,29-Jan-55,University of Oregon
186,Gene Banks,1982,1987,F-G,6-7,215,15-May-59,Duke University
187,Marcus Banks,2004,2011,G,6-2,200,19-Nov-81,"University of Nevada, Las Vegas"
189,Ken Bannister,1985,1991,F-C,6-9,235,1-Apr-60,Saint Augustine's College
192,Leandro Barbosa,2004,2017,G,6-3,194,28-Nov-82,
193,Steve Bardo,1992,1996,G,6-5,190,5-Apr-68,University of Illinois at Urbana-Champaign
194,J.J. Barea,2007,2018,G,6-1,185,26-Jun-84,Northeastern University
195,Andrea Bargnani,2007,2016,F-C,7-1,245,26-Oct-85,
198,Charles Barkley,1985,2000,F,6-6,252,20-Feb-63,Auburn University
199,Erick Barkley,2001,2002,G,6-1,177,21-Feb-78,St. John's University
201,Harrison Barnes,2013,2018,F,6-8,210,30-May-92,University of North Carolina
205,Matt Barnes,2004,2017,F,6-7,226,9-Mar-80,"University of California, Los Angeles"
215,Andre Barrett,2005,2008,G,5-10,172,21-Feb-82,Seton Hall University
218,Earl Barron,2006,2015,C,7-1,250,14-Aug-81,University of Memphis
219,Dana Barros,1990,2004,G,5-11,163,13-Apr-67,Boston College
220,Brent Barry,1996,2009,G,6-6,185,31-Dec-71,Oregon State University
221,Drew Barry,1998,2000,G,6-5,191,17-Feb-73,Georgia Institute of Technology
222,Jon Barry,1993,2006,G,6-4,195,25-Jul-69,Georgia Institute of Technology
226,Will Barton,2013,2018,G,6-6,175,6-Jan-91,University of Memphis
227,Eddie Basden,2006,2006,G,6-5,215,15-Feb-83,University of North Carolina at Charlotte
229,Brandon Bass,2006,2017,F,6-8,250,30-Apr-85,Louisiana State University
231,Maceo Baston,2003,2009,F,6-9,215,29-May-75,University of Michigan
232,Mengke Bateer,2002,2004,C,6-11,290,20-Nov-75,
234,Esteban Batista,2006,2007,F-C,6-10,270,2-Sep-83,
235,Mike Batiste,2003,2003,F,6-8,225,21-Nov-77,Arizona State University
236,Tony Battie,1998,2012,C-F,6-11,230,11-Feb-76,Texas Tech University
237,Shane Battier,2002,2014,F,6-8,220,9-Sep-78,Duke University
238,John Battle,1986,1995,G,6-2,175,9-Nov-62,Rutgers University
239,Kenny Battle,1990,1993,F,6-6,210,10-Oct-64,University of Illinois at Urbana-Champaign
242,Nicolas Batum,2009,2018,F-G,6-8,200,14-Dec-88,
245,Lonny Baxter,2003,2006,F,6-8,260,27-Jan-79,University of Maryland
246,Jerryd Bayless,2009,2018,G,6-3,200,20-Aug-88,University of Arizona
249,Aron Baynes,2013,2018,C,6-10,260,9-Dec-86,Washington State University
250,Sergei Bazarevich,1995,1995,G,6-2,168,16-Mar-65,
251,Kent Bazemore,2013,2018,G-F,6-5,201,1-Jul-89,Old Dominion University
253,Bradley Beal,2013,2018,G,6-5,207,28-Jun-93,University of Florida
258,Jerome Beasley,2004,2004,F,6-10,237,17-May-80,University of North Dakota
260,Malik Beasley,2017,2018,G,6-5,196,26-Nov-96,Florida State University
261,Michael Beasley,2009,2018,F,6-9,235,9-Jan-89,Kansas State University
263,Rodrigue Beaubois,2010,2013,G,6-1,170,24-Feb-88,
265,Corey Beck,1996,1999,G,6-1,190,27-May-71,University of Arkansas
270,William Bedford,1987,1993,C,7-1,225,14-Dec-63,University of Memphis
274,Marco Belinelli,2008,2018,G-F,6-5,210,25-Mar-86,
275,Charlie Bell,2002,2011,G,6-3,200,12-Mar-79,Michigan State University
277,Jordan Bell,2018,2018,F,6-9,224,7-Jan-95,University of Oregon
278,Raja Bell,2001,2012,G,6-5,204,19-Sep-76,Florida International University
279,Troy Bell,2004,2004,G,6-1,180,10-Nov-80,Boston College
282,DeAndre' Bembry,2017,2018,F,6-6,210,4-Jul-94,Saint Joseph's University
285,Dragan Bender,2017,2018,F,7-1,225,17-Nov-97,
286,Jonathan Bender,2000,2010,F,6-11,202,30-Jan-81,
287,Jerrelle Benimon,2015,2015,F,6-8,245,1-Aug-91,Towson University
288,Benoit Benjamin,1986,2000,C,7-1,250,22-Nov-64,Creighton University
289,Corey Benjamin,1999,2003,G,6-6,200,24-Feb-78,Oregon State University
290,Anthony Bennett,2014,2017,F,6-8,245,14-Mar-93,"University of Nevada, Las Vegas"
291,Elmer Bennett,1995,1997,G,6-1,170,13-Feb-70,University of Notre Dame
292,Mario Bennett,1996,2000,F,6-6,235,1-Aug-73,Arizona State University
